,0.1% DMSO ,1 uM Verapamil 
7.95,396.660779919319,369.396217712177
7.9625,396.153962870403,378.175729137915
7.975,395.252301367414,389.445817316493
7.9875,395.030362740708,398.908734500365
8,394.800877035976,408.026035502959
8.0125,394.006610684295,412.452005080748
8.025,393.434385902138,413.656000725163
8.0375,393.119593329171,413.04774415655
8.05,392.838603072526,412.370484382073
8.0625,392.376014990631,411.258900262705
8.075,392.07741877741,409.488382605551
8.0875,392.780632411067,408.646259735555
8.1,391.51457960644,406.324541595159
8.1125,391.702673701154,404.701366886938
8.125,391.418492354467,402.470086246028
8.1375,391.188522392062,399.759862468332
8.15,390.993025751073,397.905686043348
8.1625,390.938623959918,394.849500454133
8.175,390.067066082447,391.453457808393
8.1875,390.897362282433,389.468030923147
8.2,390.923559458733,386.264393870705
8.2125,390.050192359309,384.757047714625
8.225,390.181679662992,382.410764872521
8.2375,390.047836603064,378.985398795401
8.25,390.024063931041,376.719748129221
8.2625,390.324118122251,374.192107426692
8.275,390.362177187948,372.019615032081
8.2875,390.069963271522,369.946692357097
8.3,400.013975989966,367.507668289099
8.3125,422.695308334814,366.432407577708
8.325,444.597266595669,364.957342915054
8.3375,458.032676852424,363.693591516828
8.35,475.386751010367,362.810446659284
8.3625,496.143118466899,361.114962662487
8.375,515.00539083558,360.529476991314
8.3875,523.417752301546,359.460365853659
8.4,527.57360318284,358.41987474673
8.4125,532.033097131006,357.806889545622
8.425,535.190529778393,357.816513761468
8.4375,537.41657305798,356.509156492786
8.45,538.738796304292,356.540618060696
8.4625,538.733597723942,356.317840940654
8.475,539.659352051836,356.089981447124
8.4875,539.287402933563,355.507176590425
8.5,538.722888447934,354.856930922578
8.5125,537.895377969762,355.034764067859
8.525,536.412267818574,354.758540660973
8.5375,533.099939535285,354.321018518519
8.55,531.206625151358,354.34641796585
8.5625,527.56646799689,353.538361869505
8.575,525.135202977582,353.291833132026
8.5875,521.464759427828,353.245235892692
8.6,517.70482555112,353.374060673532
8.6125,513.008160430593,352.895997771381
8.625,508.183918027093,357.046451133408
8.6375,503.967652173913,366.310832025118
8.65,499.921325774095,375.655626092557
8.6625,493.709040285391,385.962979932191
8.675,488.994074074074,396.808260393873
8.6875,483.226387068589,405.282130521723
8.7,477.09215583508,411.322317051026
8.7125,470.432352170495,412.363726820443
8.725,464.855328837902,412.772406300923
8.7375,458.768326902841,412.165177362578
8.75,452.816498464239,411.922944896116
8.7625,445.699359592947,410.363775832506
8.775,441.75274967004,408.299031586569
8.7875,436.87229341582,405.98940697148
8.8,432.419989367358,404.670316742081
8.8125,427.223554301834,402.782888767919
8.825,423.430390942862,399.81878342852
8.8375,421.004870704924,397.511179505748
8.85,417.794089018671,394.716638016828
8.8625,415.346092503987,392.797564964565
8.875,413.205637298351,389.89031377899
8.8875,411.101534095947,387.419912631962
8.9,408.565671773979,384.893419495768
8.9125,407.090901020861,382.401090413448
8.925,405.927778271298,379.858004385965
8.9375,405.527316550616,376.714272660819
8.95,404.060795150651,374.785812231465
8.9625,402.233039921757,372.274890190337
8.975,402.398091160467,370.071539657854
8.9875,400.63422459893,368.929266948374
9,400.15791354055,366.562654916001
9.0125,399.088684469054,365.287685091511
9.025,399.203882626588,363.640883977901
9.0375,397.685558729025,362.500738143569
9.05,397.535152057245,361.75567867036
9.0625,397.070679924751,361.173523157992
9.075,395.825106913756,359.692385974651
9.0875,395.425509110397,359.066320859578
9.1,394.524051762606,358.098272836427
9.1125,394.019558810396,358.208962133136
9.125,394.183731971692,357.604433314784
9.1375,393.798480786416,357.009157339747
9.15,393.058307994992,356.422684239837
9.1625,393.101861797351,356.031982149498
9.175,392.725377940782,355.415206305053
9.1875,391.509718259629,355.169515140256
9.2,392.153859899929,354.714988855869
9.2125,391.358729592292,354.63779966549
9.225,391.702255235368,354.085462962963
9.2375,391.842930061789,354.161132180187
9.25,391.411401467693,353.935570594234
9.2625,391.05112620665,353.211165723825
9.275,390.712176791626,353.617469599926
9.2875,390.780964330525,353.281692749329
9.3,390.972396486826,352.697971658794
9.3125,390.891584601611,353.854829755736
9.325,389.690886369722,362.213332097163
9.3375,390.63865470852,371.846493649917
9.35,389.969772849222,381.462549398033
9.3625,390.42082623891,391.96329772665
9.375,390.464880845727,401.773990704456
9.3875,390.10970691046,409.116141910897
9.4,390.575466618808,412.319116182197
